Milliseconds,Voltage
0,995
10,948
20,982
30,1022
40,1009
51,1009
62,992
72,979
82,1017
93,1063
103,1036
113,1056
124,1068
135,1090
145,1069
155,1071
165,1032
177,1076
187,1049
197,1038
207,1052
219,1092
229,1075
239,1062
249,1059
260,1010
271,961
281,928
291,934
302,889
312,925
322,963
333,967
344,979
354,964
364,961
374,940
385,964
396,982
406,1000
416,989
427,988
437,1030
448,1056
458,1021
468,1006
479,1012
489,1028
500,979
510,1027
521,1008
531,969
541,983
552,985
563,968
573,961
583,948
593,954
604,923
615,943
625,938
635,921
646,894
656,900
666,942
677,952
688,917
