Milliseconds,Voltage
0,981
10,936
20,972
30,963
40,989
51,942
62,937
72,912
82,952
93,972
103,965
113,962
123,964
135,970
145,925
155,914
165,960
176,962
186,955
197,920
207,897
218,866
228,904
238,934
248,960
260,978
270,931
280,973
290,932
301,911
311,947
322,904
332,873
343,919
353,957
363,938
373,970
385,998
395,1030
405,1017
415,1065
425,1064
437,1098
447,1102
457,1110
467,1105
478,1090
489,1089
499,1052
509,1064
520,1088
530,1136
541,1103
551,1143
562,1140
572,1103
583,1117
593,1121
604,1074
614,1100
624,1095
635,1097
646,1125
656,1118
666,1118
676,1134
688,1095
698,1048
708,1037
718,1036
730,1076
740,1069
750,1109
760,1123
771,1108
782,1091
792,1044
802,1066
813,1092
823,1128
834,1168
844,1172
855,1161
865,1189
875,1164
886,1163
897,1169
907,1193
917,1178
928,1204
939,1167
949,1189
959,1166
969,1202
980,1224
991,1252
1001,1217
1011,1188
1022,1220
1033,1203
1043,1164
1053,1198
1064,1212
1075,1260
1085,1239
1095,1239
1106,1228
1117,1266
1127,1280
1137,1241
1148,1194
1159,1181
1169,1189
1179,1227
1190,1202
1201,1183
1211,1195
1221,1148
1232,1148
1243,1164
1253,1133
1264,1122
1274,1121
1285,1123
1295,1171
1306,1130
1316,1174
1327,1184
1337,1157
1348,1157
1358,1136
1369,1154
1379,1184
1390,1220
1400,1201
1411,1241
1421,1202
1432,1165
1442,1126
1453,1103
1463,1121
1474,1100
1484,1061
1495,1063
1505,1065
1516,1105
1526,1098
1537,1146
1548,1156
1558,1145
1568,1142
1579,1158
1590,1137
1600,1159
1610,1142
1620,1115
1632,1096
1642,1063
1653,1075
1665,1119
1676,1119
1687,1165
1698,1158
1711,1200
1722,1171
1733,1148
1744,1127
1756,1102
1767,1095
1779,1054
1790,1058
1802,1053
1813,1018
1824,971
1835,936
1846,972
1856,957
1866,936
1876,917
1888,933
1898,963
1908,960
1918,925
1929,898
1940,910
1950,922
1960,891
1971,923
1982,920
1992,934
2002,970
2013,1006
2023,961
2034,936
2044,956
2055,960
2065,962
2076,988
2086,1030
2097,1017
2109,1008
2120,967
2130,928
2141,905
2151,931
2162,916
2172,897
2183,894
2193,896
2203,881
2214,860
2225,904
2235,928
2245,960
2256,1000
2267,969
2277,934
2287,893
2298,907
2309,953
2319,955
2329,965
2339,1009
2351,986
2361,1016
2373,1038
2384,1080
2396,1051
2407,1050
2418,1037
2429,1030
2442,997
2452,1023
2463,1025
2475,1071
2486,1022
2497,1058
2509,1068
2521,1092
2532,1077
2543,1066
