Milliseconds,Voltage
0,1048
10,1021
20,974
30,984
40,935
51,890
62,873
72,840
82,827
93,873
103,846
113,819
123,863
135,887
145,862
155,880
165,890
176,902
186,875
197,915
207,870
218,857
228,875
238,887
248,901
260,866
270,831
280,837
290,810
301,805
311,804
322,759
332,756
343,717
353,676
363,657
373,703
385,692
395,728
405,768
415,763
425,734
436,693
447,719
457,718
467,726
478,697
488,737
498,724
509,746
520,745
530,734
540,754
550,770
561,812
572,852
582,835
592,857
603,867
613,875
623,830
634,807
645,760
655,794
665,753
675,724
686,740
697,729
707,753
717,793
728,811
738,810
749,850
759,878
770,914
780,911
790,919
800,927
