Milliseconds,Voltage
0,965
10,969
20,936
30,891
40,846
51,870
62,843
72,855
82,895
93,866
103,851
113,846
123,864
135,866
145,914
155,907
165,955
176,959
186,944
197,903
207,925
218,896
228,887
238,874
248,900
260,904
270,910
280,942
290,976
301,1000
311,961
322,965
332,993
343,1035
353,1079
363,1068
374,1055
385,1042
395,1090
405,1136
415,1101
427,1100
437,1059
447,1014
457,1028
467,1040
479,1035
489,1006
499,1006
509,993
520,958
531,1002
541,1030
551,1027
562,1002
572,1001
583,990
593,971
604,975
614,938
624,946
635,988
646,1010
656,1003
666,1005
676,990
687,996
698,1044
708,1005
718,1007
729,1053
739,1073
750,1062
760,1037
771,1020
781,1054
792,1062
802,1102
813,1053
823,1081
833,1111
844,1131
855,1118
865,1079
875,1117
885,1080
897,1061
907,1012
917,995
927,978
937,1000
949,963
959,962
969,931
979,904
990,910
1001,938
1011,933
1021,916
1032,940
1042,946
1053,948
1063,945
1074,951
1084,930
1094,897
1105,890
1116,914
1126,932
1136,909
1146,906
1158,920
1168,873
1178,868
1188,902
1200,889
1210,891
1220,888
1230,881
1241,897
1252,905
1262,923
1272,900
1283,859
1293,854
1304,853
1314,855
1325,814
1335,765
1345,809
1356,772
1367,755
1377,795
1387,760
1398,757
1409,783
1419,752
1429,715
1439,731
1451,700
1461,714
1471,701
1481,686
1491,671
1503,695
1513,650
1523,629
1533,600
1545,569
1555,548
1565,527
1575,520
1586,548
1597,513
1607,506
1617,479
1628,527
1638,488
1649,516
1659,511
1670,496
1680,502
1690,538
1701,584
1712,561
1722,546
1732,562
1743,521
1754,492
1764,510
1774,471
1784,515
1796,541
1806,506
1816,510
1826,469
1837,475
1848,468
1858,484
1868,447
1879,495
1890,529
1900,488
1910,514
1921,538
1931,574
1942,569
1952,540
1963,558
1973,602
1983,642
1994,644
2004,648
2015,666
2025,623
2035,592
2046,577
2057,554
2067,580
2077,592
2088,585
2099,558
2109,521
2119,559
2129,601
2141,627
2151,633
2161,594
2171,612
2182,648
2193,662
2203,662
2213,653
2224,618
2235,634
2245,656
2255,668
2266,625
2276,620
2287,666
2297,617
2308,643
2318,679
2328,687
2339,638
2350,599
2360,629
2370,596
2380,616
2392,634
2402,644
2412,674
2422,704
2434,742
2444,721
2454,676
2464,722
2475,707
2486,753
2496,734
2506,713
2516,704
2527,746
2538,754
2548,760
2558,745
2569,787
2579,813
2590,823
2600,825
2611,845
2621,885
2632,856
2642,839
2653,881
2663,883
2673,840
2684,870
2695,874
2705,908
2715,914
2725,944
2737,935
2747,886
2757,908
2767,881
2779,909
2789,917
2799,886
2809,932
2820,972
2831,996
2841,975
2851,968
2862,978
2872,1008
2883,1040
2893,1019
2904,1006
2914,1048
2925,1062
2935,1084
2946,1083
2957,1054
2967,1068
2977,1116
2988,1111
2999,1119
3009,1100
3019,1108
3030,1108
3041,1142
3051,1127
3061,1100
3072,1083
3083,1091
3093,1062
3103,1031
3113,1049
3125,1006
3135,1014
3145,1046
3155,1033
3167,1081
3177,1097
3187,1143
3198,1120
3209,1132
3219,1103
3229,1072
3240,1023
3251,1027
3261,1020
3271,1064
3282,1025
3293,1057
3303,1063
3313,1063
3324,1091
3335,1105
3345,1137
3355,1147
3366,1159
3377,1195
3387,1207
3397,1209
3408,1249
3419,1200
3429,1232
3439,1244
3450,1237
3461,1249
3471,1261
3482,1271
3492,1287
3503,1266
3513,1257
3524,1214
3535,1236
3547,1195
3559,1211
3570,1192
3581,1143
3593,1128
3604,1136
3616,1172
3628,1180
3639,1200
3650,1185
3661,1142
3673,1184
3685,1163
3696,1162
3707,1127
3719,1110
3730,1130
3741,1178
3753,1220
3765,1222
3776,1230
3787,1250
3799,1278
3810,1296
3822,1251
3833,1259
3845,1307
3856,1313
3867,1292
3878,1314
3891,1352
3902,1360
3913,1343
3924,1373
3936,1324
3947,1289
3959,1286
3971,1324
3982,1352
3993,1327
4004,1349
4017,1367
4028,1375
4039,1399
4050,1384
4062,1377
4073,1385
4085,1385
4097,1374
4108,1422
4119,1377
4130,1393
4142,1439
4154,1396
4165,1432
4176,1440
4188,1393
4199,1362
4210,1357
4222,1326
4234,1295
4245,1282
4256,1263
4268,1220
4279,1236
4291,1240
4302,1274
4314,1269
4325,1269
4336,1238
4347,1278
4360,1269
4371,1238
4382,1213
4393,1245
4405,1198
4417,1187
4428,1221
4440,1174
4451,1165
4462,1195
4473,1225
4486,1206
4497,1171
4508,1136
4519,1146
4531,1176
4542,1141
4554,1157
4566,1114
4577,1128
