Milliseconds,Voltage
0,1034
10,1034
20,1025
30,1035
40,1018
52,1052
62,1017
72,994
82,981
93,968
103,972
113,953
124,983
135,1029
145,1039
155,1079
165,1081
177,1074
187,1073
197,1048
207,1050
218,1074
229,1108
239,1075
249,1089
260,1042
271,993
281,950
291,945
302,979
312,940
322,944
333,962
344,951
354,922
364,921
374,949
385,928
396,950
406,952
416,945
427,971
437,964
447,976
458,1000
468,973
479,989
489,1023
499,1037
510,1016
521,1009
531,1033
541,996
551,979
563,989
573,1023
583,1061
593,1052
604,1084
615,1092
625,1122
635,1109
646,1133
656,1102
667,1132
677,1087
688,1086
698,1079
708,1085
719,1121
730,1165
740,1211
750,1223
761,1257
772,1291
782,1250
792,1233
802,1275
814,1236
824,1207
834,1204
844,1173
855,1189
866,1178
876,1153
886,1136
897,1117
907,1159
918,1114
928,1138
939,1182
949,1186
960,1228
970,1211
980,1208
991,1244
1001,1195
1012,1227
1022,1263
1033,1222
1043,1197
1054,1237
1064,1243
1075,1238
1085,1205
1096,1204
1106,1218
1117,1215
1127,1253
1138,1240
1148,1203
1159,1249
1170,1273
1180,1321
1190,1280
1201,1294
1212,1245
1222,1196
1232,1244
1243,1241
1254,1210
1264,1187
1274,1156
1285,1162
1296,1139
1306,1181
1316,1195
1327,1199
1338,1243
1348,1277
1358,1228
1369,1262
1380,1245
1390,1259
1400,1287
1411,1258
1422,1253
1432,1277
1442,1252
1454,1258
1464,1249
1474,1248
1484,1205
1496,1188
1506,1181
1516,1215
1526,1219
1538,1263
1548,1234
1558,1209
1568,1172
1580,1161
1590,1118
1600,1142
1610,1101
1622,1098
1632,1122
1642,1146
1653,1174
1665,1176
1676,1208
1688,1218
1699,1254
1711,1215
1722,1176
1733,1135
1744,1120
1757,1122
1768,1134
1779,1119
1790,1143
1802,1163
1813,1146
1825,1150
1837,1135
1848,1165
1859,1177
1870,1154
1882,1196
1894,1171
1905,1173
1916,1185
1928,1172
1939,1155
1951,1173
1963,1207
1974,1168
1985,1210
1996,1175
2008,1177
2020,1187
2031,1227
2042,1216
2054,1254
2065,1221
2076,1249
2088,1222
2100,1234
2111,1193
2122,1152
2134,1125
2145,1118
2157,1152
2168,1121
2180,1125
2191,1088
2202,1083
2213,1054
2226,1058
2237,1082
2248,1035
2259,988
2270,945
2281,965
2291,983
2301,997
2312,964
2322,917
2333,870
2343,849
2354,834
2364,848
2375,858
2385,898
2396,865
2406,844
2416,831
2427,816
2438,834
2448,791
2458,823
2469,841
2480,841
2490,812
2500,797
2510,758
2522,806
2532,777
2542,783
2552,797
2563,748
2574,745
2584,781
2594,799
2605,805
2616,770
2626,725
2636,690
2647,675
2657,644
2668,672
2678,678
2689,678
2699,667
2709,662
2720,666
2731,637
2741,649
2751,673
2762,673
2772,677
2783,654
2793,676
2803,667
2814,707
2825,704
2835,716
2845,685
2856,642
2867,662
2877,692
2887,712
2897,742
2909,744
2919,721
2929,706
2939,742
2950,756
2961,778
2971,826
2981,777
2992,783
3003,748
3013,719
3023,767
3034,734
3044,778
3055,800
3065,773
3076,777
3086,746
3096,786
3107,779
3118,768
3128,770
3138,763
3149,809
3160,762
3170,780
3180,737
3190,781
3202,799
3212,764
3222,786
3232,767
3244,783
3254,764
3264,751
3274,757
3284,777
3296,779
3306,823
3316,841
3326,879
3337,838
3348,829
3358,837
3368,867
3379,834
3390,864
3400,831
3410,800
3421,808
3431,840
3442,835
3452,790
3463,820
3473,860
3483,849
3494,812
3505,848
3515,880
3525,873
3536,873
3547,907
3557,880
3567,837
3577,853
3589,889
3599,915
3609,953
3619,997
3631,954
3641,956
3651,978
3661,955
3672,938
3683,915
3693,931
3703,930
3714,885
3724,919
3735,908
3745,891
3756,907
3766,858
3777,870
3787,827
3798,810
3808,785
3818,756
3829,798
3840,838
3850,846
3860,843
3871,881
3881,840
3892,815
3902,772
3912,745
3923,714
3934,667
3944,701
3954,654
3964,698
3976,667
3986,622
3996,575
4006,570
4018,559
4028,559
4038,603
4048,594
4059,614
4070,624
4080,599
4090,621
4101,653
4112,652
4122,658
4132,670
4143,653
4153,630
4164,648
4174,668
4185,621
4195,580
4205,600
4216,614
4227,616
4237,628
4247,656
4258,655
4269,683
4279,650
4289,607
4299,611
4311,562
4321,588
4331,581
4341,572
4352,600
4363,640
4373,617
4383,639
4393,643
4405,596
4415,596
4425,602
4435,606
4446,644
4457,678
4467,694
4477,738
4488,721
4498,718
4509,691
4519,650
4530,688
4540,688
4551,690
4561,710
4572,681
4582,709
4592,674
4603,712
4614,756
4624,798
4634,793
4645,790
4656,785
4666,793
4676,750
4686,764
4698,802
4708,802
4718,761
4728,740
4739,756
4750,715
4760,745
4770,700
4781,699
4792,654
4802,627
4812,612
4823,589
4833,611
4844,566
4854,612
4865,648
4875,599
4886,619
4896,580
4907,626
4917,658
4927,684
4938,700
4948,712
4959,720
4969,750
4979,721
4990,753
5001,773
5011,791
5021,772
5032,733
5043,708
5053,710
5063,724
5073,742
5085,741
5095,787
5105,740
5115,695
5127,676
5137,720
5147,689
5157,731
5168,749
5179,708
5189,736
5199,754
5210,786
5220,743
5231,789
5241,795
5252,754
5262,735
5273,751
5283,795
5294,794
5304,812
5314,852
5325,809
5336,815
5346,815
5356,780
5367,733
5378,779
5388,730
5398,721
5408,700
5420,685
5430,695
5440,668
5450,678
5460,641
5472,677
5482,717
5492,684
5502,673
5514,681
5524,701
5534,719
5544,755
5555,769
5566,752
5576,739
5586,739
5597,777
5607,825
5618,820
5628,777
5639,764
5649,719
5660,723
5670,678
5681,686
5691,665
5701,654
5712,635
5723,665
5733,634
5743,636
5754,662
5765,651
5775,604
5785,577
5795,621
5807,657
5817,659
5827,701
5837,694
5848,685
5859,646
5869,666
5879,665
5890,662
5901,623
5911,645
5921,630
5932,644
5942,609
5953,564
5963,531
5974,579
5984,578
5995,549
6005,516
6016,532
6026,485
6036,509
6047,472
6057,437
6068,422
6078,379
6088,374
6099,410
6110,409
6120,402
6130,381
6141,336
6308,205
6319,223
6329,241
6340,210
6350,205
6361,251
6371,228
6382,221
6392,265
6403,297
6413,299
6423,325
6434,335
6445,316
6455,307
6465,268
6475,249
6487,230
6497,278
6507,237
6517,234
6529,199
6539,243
6549,251
6559,224
6569,268
6581,259
657093,-233
7103,-187
7113,-181
7123,-135
7134,-95
7145,-95
7155,-134
7165,-149
7176,-176
7187,-207
7197,-212
7207,-196
7218,-168
7228,-150
7239,-193
7249,-189
7260,-238
7270,-204
7281,-196
7291,-188
7302,-186
7312,-184
7322,-156
7333,-201
7344,-201
7856,-404
7867,-398
7879,-429
7890,-383
7902,-428
7913,-388
7924,-405
7936,-395
7948,-440
7959,-469
7970,-506
7982,-523
7993,-487
8004,-471
8016,-465
8028,-443
8039,-486
8050,-527
8061,-548
8074,-532
8085,-575
8096,-606
8108,-613
8119,-660
0,0
8668,-851
8680,-886
8691,-874
8702,-850
8714,-816
8725,-806
8736,-762
8749,-744
8760,-740
8771,-706
8782,-737
8794,-689
8806,-718
8817,-727
8828,-772
8840,-817
8851,-771
8862,-816
8875,-810
8886,-829
8897,-838
8908,-847
8920,-847
8931,-823
0,0
9509,-952
9521,-999
9532,-1008
9545,-1031
9558,-991
9569,-971
9580,-976
9591,-985
9603,-1018
9616,-972
9627,-993
9638,-1030
9651,-1039
9663,-1050
9676,-1034
9689,-1053
9701,-1062
9713,-1069
9725,-1039
9739,-1013
9751,-1046
9763,-1067
9776,-1086
9710351,-965
10363,-1004
10377,-1037
10390,-1033
10404,-1068
10418,-1091
10431,-1061
10444,-1015
10458,-1034
10472,-1055
10485,-1037
10499,-1054
10512,-1103
10525,-1124
10540,-1108
10553,-1137
10566,-1142
10579,-1094
10593,-1088
10607,-1121
10620,-1087
22,-983
11234,-996
11246,-1021
11259,-1011
11274,-1022
11287,-974
11299,-926
11312,-920
11324,-902
11337,-903
11350,-883
11362,-877
11374,-920
11386,-896
11399,-880
11412,-881
11424,-930
11437,-918
11449,-876
11461,-881
11474,-873
11487,-849
11499,-8
12073,-615
12086,-605
12098,-652
12110,-606
12123,-594
12136,-568
12148,-611
12161,-571
12173,-571
12185,-531
12197,-542
12211,-502
12223,-468
12235,-460
12248,-442
12260,-487
12273,-441
12285,-474
12298,-454
12310,-483
12322,-481
12336,-498
12348,353
12921,-366
12935,-375
12947,-353
12959,-394
12972,-419
12984,-460
12996,-489
13009,-510
13022,-527
13034,-536
13046,-488
13059,-470
13072,-511
13084,-536
13096,-551
13109,-596
13121,-596
13134,-621
13147,-597
13159,-559
13171,-580
13184,-601
0,0
13758,-800
13770,-821
13783,-819
13795,-817
13808,-777
13820,-777
13833,-806
13845,-825
13857,-872
13871,-864
13883,-887
13895,-896
13907,-848
13920,-885
13933,-886
13945,-893
13958,-861
13970,-853
13982,-843
13995,-846
14008,-842
14020,-798
14613,-1098
14626,-1062
14640,-1067
14653,-1094
14667,-1111
14681,-1111
14694,-1120
14707,-1074
14721,-1034
14735,-1010
14748,-1000
14761,-968
14774,-940
14786,-987
14799,-1032
14813,-1028
14826,-1000
14839,-1017
14853,-971
14866,-990
14878,-9718
15482,-1167
15496,-1137
15509,-1160
15522,-1144
15537,-1106
15550,-1096
15563,-1064
15577,-1064
15590,-1099
15604,-1108
15618,-1080
15631,-1058
15644,-1093
15657,-1059
15672,-1013
15685,-977
15697,-992
15710,-1023
15723,-1062
15737,-1044
15751,-108991
16325,-1010
16339,-974
16352,-997
16364,-987
16376,-1032
16390,-1041
16404,-1086
16417,-1123
16431,-1164
16444,-1169
16457,-1141
16472,-1103
16485,-1083
16498,-1039
16512,-1072
16525,-1038
16539,-1018
16552,-1004
16566,-1009
16579,-987
17170,-889
17182,-841
17196,-852
17208,-889
17220,-904
17232,-856
17245,-903
17257,-946
