Milliseconds,Voltage
0,961
10,952
20,951
30,971
40,993
51,999
61,1003
72,978
82,935
93,963
103,989
113,1035
123,1057
135,1089
145,1113
155,1076
165,1037
176,1079
187,1105
197,1088
207,1116
218,1160
229,1127
239,1145
249,1116
260,1160
270,1162
281,1123
291,1149
302,1102
312,1081
322,1040
333,991
344,966
354,943
364,934
374,970
385,967
396,918
406,879
416,889
427,937
437,894
447,845
458,820
468,803
479,794
489,771
499,799
509,786
521,808
531,820
541,815
551,784
562,735
572,718
583,762
593,788
604,779
614,764
624,727
635,729
646,718
656,722
666,685
676,721
687,714
698,669
708,681
718,727
729,737
739,773
749,732
760,738
771,727
781,686
791,641
801,600
812,614
823,628
833,591
843,576
854,580
864,569
874,568
885,553
896,591
906,637
916,632
926,617
936,608
948,599
958,635
968,681
978,634
989,593
999,613
1010,615
1020,625
1031,657
1041,612
1051,650
1062,678
1073,667
1083,685
1093,717
1103,692
1115,706
1125,706
1135,687
1145,695
1157,690
1167,683
1177,636
1187,597
1198,548
1209,560
1219,586
1229,592
1240,602
1250,553
1261,524
1271,483
1282,476
1292,475
1303,475
1313,517
1324,519
1334,539
1344,512
1355,509
1366,547
1376,520
1386,491
1396,480
1408,461
1418,432
1428,466
1438,459
1448,495
1460,472
1470,474
1480,453
1490,404
1502,365
1512,377
1522,346
1532,386
1543,381
1554,370
1564,363
1574,383
1585,338
1595,386
1606,400
1616,379
1627,346
1637,346
1648,323
1658,322
1669,297
1679,254
1689,260
1700,288
1711,273
1721,301
1731,252
1741,213
1753,178
1763,175
1773,213
1783,217
1794,247
1805,240
1815,203
1825,205
1836,215
1847,180
1857,220
1867,240
1878,197
1888,201
1899,152
1909,117
1920,68
1930,67
1940,81
1951,125
1961,153
1972,173
1982,183
1992,174
2003,171
2014,193
2024,188
2034,216
2044,173
2056,173
2066,183
2076,150
2086,172
2097,155
2108,201
2118,194
2128,196
2139,177
2150,152
2160,178
2170,188
2181,198
2191,204
2202,181
2212,183
2223,197
2233,213
2243,233
2254,224
2265,264
2275,270
2285,272
2295,261
2307,297
2317,325
2327,280
2337,251
2349,253
2359,255
2369,267
2379,220
2390,258
2401,225
2411,267
2421,252
2432,268
2442,241
2453,257
2463,212
2473,171
2484,160
2495,208
2505,228
2515,240
2526,244
2536,258
2547,235
2557,239
2568,269
2578,234
2588,211
2599,227
2610,265
2620,291
2630,311
2640,304
2652,271
2662,291
2672,297
2682,288
2694,316
2704,338
2714,311
2724,321
2735,349
2746,373
2756,348
2766,327
2777,341
2787,318
2798,305
2808,325
2819,304
2829,332
2839,327
2850,373
2861,391
2871,415
2881,421
2892,394
2903,391
2913,393
2923,421
2933,382
2945,351
2955,377
2965,383
2975,393
2985,352
2997,374
3007,388
3017,363
3027,391
3039,399
3049,443
3059,436
3069,438
3080,405
3091,372
3101,372
3111,400
3122,361
3132,334
3143,309
3153,292
3164,330
3174,358
3184,315
3195,329
3206,328
3216,297
3226,311
3237,335
3248,294
3258,263
3268,305
3278,278
3290,241
3300,198
3310,226
3320,177
3331,185
3342,209
3352,253
3362,206
3373,199
3383,231
3394,261
3404,226
3415,217
3425,245
3436,204
3446,226
3457,177
3467,217
3477,170
3488,123
3499,125
3509,118
3519,87
3529,54
3540,86
3551,106
3561,132
3571,152
3581,119
3593,137
3603,163
3613,156
3623,202
3634,206
3645,252
3655,213
3665,190
3676,224
3686,258
3697,276
3707,227
3718,273
3728,236
3739,229
3749,231
3760,267
3770,242
3780,193
3791,164
3802,121
3812,141
3822,141
3832,92
3844,108
3854,71
3864,85
3874,117
3885,104
3896,79
3906,123
3916,127
3927,104
3937,138
3948,109
3958,147
3969,110
3979,134
3989,152
4000,135
4011,92
4021,49
4031,67
4041,22
4052,-9
4063,21
4073,31
4083,65
4093,60
4104,49
4115,83
4125,74
4135,71
4146,81
4156,62
4166,66
4177,41
4188,10
4198,-5
4208,-36
4218,2
4229,34
4239,42
4250,21
4260,10
4271,22
4281,34
4291,48
4301,21
4313,67
4323,60
4333,59
4343,50
4354,5
4364,-32
4375,-53
4385,-43
4396,-90
4406,-44
4416,-55
4426,-41
4438,-74
4448,-70
4458,-52
4468,-75
4478,-69
4490,-118
4500,-70
4510,-54
4520,-34
4531,-24
4541,24
4552,-23
4562,-66
4573,-36
4583,-12
4593,34
4603,-13
4615,35
4625,59
4635,73
4645,97
