Milliseconds,Voltage
0,969
10,952
20,978
30,939
40,941
51,916
62,922
72,926
82,887
93,905
103,913
113,874
123,914
135,889
145,858
155,853
165,865
176,852
186,860
197,839
207,865
218,881
228,903
238,854
248,856
260,898
270,920
280,944
290,939
301,930
311,885
322,854
332,900
343,885
353,862
363,876
373,843
385,877
395,921
405,931
415,888
425,892
436,845
447,847
457,849
467,865
478,818
488,801
498,815
509,847
520,859
530,814
540,777
550,760
561,755
572,746
582,746
592,699
603,733
613,751
623,765
634,758
645,766
655,774
665,788
675,804
686,848
697,864
707,874
717,851
728,844
738,858
748,835
759,861
770,860
780,817
790,808
800,763
811,811
822,802
832,848
842,894
852,869
863,891
873,884
884,892
894,900
905,887
915,858
925,862
935,841
947,851
957,834
967,878
977,922
988,922
998,873
1009,836
1019,823
1030,794
1040,842
1050,880
1061,857
1072,885
1082,840
1092,858
1103,870
1114,833
1124,847
1134,849
1144,891
1156,860
1166,839
1176,887
1186,909
1197,909
1208,890
1218,900
1228,887
1239,844
1250,876
1260,922
1270,917
1281,955
1291,940
1302,933
1312,939
1323,926
1333,921
1343,912
1354,909
1364,951
1375,924
1385,970
1395,972
1406,935
1417,943
1427,957
1437,942
1448,944
1459,992
1469,1010
1479,967
1489,918
1501,924
1511,962
1521,994
1531,989
1542,946
1553,937
1563,930
1573,968
1584,939
1595,934
1605,982
1615,1014
1626,983
1636,956
1647,927
1657,898
1668,857
1678,901
1689,927
1699,886
1710,920
1720,883
1730,834
1741,848
1752,862
1762,819
1772,827
1782,808
1794,842
1804,882
1814,849
1824,812
1836,850
1846,850
1856,856
1866,833
1876,837
1888,867
1898,864
1908,859
1918,907
1929,906
1940,954
1950,905
1960,949
1971,902
1982,944
1992,921
2002,963
2013,997
2023,1039
2034,1036
2044,1064
2055,1025
2065,1014
2076,1003
2086,962
2097,923
2107,951
2118,938
2128,952
2139,927
2149,945
2159,975
2170,1019
2181,994
2191,985
2201,991
2212,962
2223,945
2233,987
2243,952
2253,984
2265,983
2275,968
2285,1014
2295,1036
2307,989
2317,1005
2327,1035
2337,1065
2349,1113
2359,1106
2369,1112
2379,1138
2391,1174
2401,1155
2411,1155
2421,1181
2433,1150
2443,1119
2453,1098
2463,1071
2475,1066
2485,1037
2495,1055
2505,1054
2516,1035
2527,1037
2537,1059
2548,1105
2558,1096
2569,1100
2579,1138
2590,1178
2600,1147
2611,1149
2621,1153
2632,1155
2642,1120
2653,1071
2663,1115
2674,1147
2684,1144
2695,1137
2705,1159
2716,1199
2726,1225
2737,1220
2747,1187
2758,1154
2768,1186
2779,1161
2790,1138
2800,1152
2810,1123
2821,1120
2832,1109
2842,1062
2852,1055
2863,1048
2874,1023
2884,998
2894,1030
2907,997
2917,1021
2928,1051
2939,1059
2951,1058
2962,1029
2974,1018
2985,1030
2997,1070
3008,1069
3019,1083
3031,1101
3043,1149
3054,1112
3065,1079
3077,1046
3088,1064
3099,1019
3111,1008
3123,1003
3134,990
3144,1010
3155,963
3167,969
3177,977
3187,981
3197,968
3208,929
3219,947
3229,926
3239,958
3250,974
3260,933
3271,975
3281,958
3292,925
3302,927
3313,892
3323,849
3334,895
3344,866
3354,817
3365,827
3376,837
3386,875
3396,891
3406,878
3418,880
3428,926
3438,952
3448,935
3460,886
3470,920
3480,952
3490,911
3501,866
3512,876
3522,920
3532,920
3543,903
3554,921
3564,963
3574,952
3585,966
3595,963
3606,958
3616,949
3627,912
3637,940
3647,978
3658,1002
3668,993
3679,970
3689,949
3700,977
3710,954
3721,941
3731,926
3741,877
3752,925
3763,953
3773,908
3783,938
3794,907
